,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
LinUCB,2024-10-02,38.62277777777778,38.62277777777778,38.62277777777778,38.62277777777778,38.62277777777778,38.62277777777778,38.62277777777778,38.62277777777778,38.62277777777778,38.62277777777778
LinUCB,2024-10-03,80.02222222222221,80.02222222222221,80.02222222222221,80.02222222222221,80.02222222222221,80.02222222222221,80.02222222222221,80.02222222222221,80.02222222222221,80.02222222222221
LinUCB,2024-10-04,124.83333333333331,124.83333333333331,124.83333333333331,124.83333333333331,124.83333333333331,124.83333333333331,124.83333333333331,124.83333333333331,124.83333333333331,124.83333333333331
LinUCB,2024-10-05,156.42777777777775,156.42777777777775,156.42777777777775,156.42777777777775,156.42777777777775,156.42777777777775,156.42777777777775,156.42777777777775,156.42777777777775,156.42777777777775
LinUCB,2024-10-06,194.10666666666663,194.10666666666663,194.10666666666663,194.10666666666663,194.10666666666663,194.10666666666663,194.10666666666663,194.10666666666663,194.10666666666663,194.10666666666663
LinUCB,2024-10-07,236.49388888888885,236.49388888888885,236.49388888888885,236.49388888888885,236.49388888888885,236.49388888888885,236.49388888888885,236.49388888888885,236.49388888888885,236.49388888888885
LinUCB,2024-10-08,283.6761111111111,283.6761111111111,283.6761111111111,283.6761111111111,283.6761111111111,283.6761111111111,283.6761111111111,283.6761111111111,283.6761111111111,283.6761111111111
LinUCB,2024-10-09,340.6951543209876,340.6951543209876,340.6951543209876,340.6951543209876,340.6951543209876,340.6951543209876,340.6951543209876,340.6951543209876,340.6951543209876,340.6951543209876
LinUCB,2024-10-10,380.3351543209876,380.3351543209876,380.3351543209876,380.3351543209876,380.3351543209876,380.3351543209876,380.3351543209876,380.3351543209876,380.3351543209876,380.3351543209876
LinUCB,2024-10-11,423.6190432098765,423.6190432098765,423.6190432098765,423.6190432098765,423.6190432098765,423.6190432098765,423.6190432098765,423.6190432098765,423.6190432098765,423.6190432098765
LinUCB,2024-10-12,458.0573070987654,458.0573070987654,458.0573070987654,458.0573070987654,458.0573070987654,458.0573070987654,458.0573070987654,458.0573070987654,458.0573070987654,458.0573070987654
LinUCB,2024-10-13,495.28730709876544,495.28730709876544,495.28730709876544,495.28730709876544,495.28730709876544,495.28730709876544,495.28730709876544,495.28730709876544,495.28730709876544,495.28730709876544
LinUCB,2024-10-14,529.285104717813,529.285104717813,529.285104717813,529.285104717813,529.285104717813,529.285104717813,529.285104717813,529.285104717813,529.285104717813,529.285104717813
LinUCB,2024-10-15,584.2964936067019,584.2964936067019,584.2964936067019,584.2964936067019,584.2964936067019,584.2964936067019,584.2964936067019,584.2964936067019,584.2964936067019,584.2964936067019
LinUCB,2024-10-16,619.2023666225749,619.2023666225749,619.2023666225749,619.2023666225749,619.2023666225749,619.2023666225749,619.2023666225749,619.2023666225749,619.2023666225749,619.2023666225749
LinUCB,2024-10-17,651.4825253527337,651.4825253527337,651.4825253527337,651.4825253527337,651.4825253527337,651.4825253527337,651.4825253527337,651.4825253527337,651.4825253527337,651.4825253527337
LinUCB,2024-10-18,686.5820094797178,686.5820094797178,686.5820094797178,686.5820094797178,686.5820094797178,686.5820094797178,686.5820094797178,686.5820094797178,686.5820094797178,686.5820094797178
LinUCB,2024-10-19,712.1895491622575,712.1895491622575,712.1895491622575,712.1895491622575,712.1895491622575,712.1895491622575,712.1895491622575,712.1895491622575,712.1895491622575,712.1895491622575
LinUCB,2024-10-20,747.0945491622575,747.0945491622575,747.0945491622575,747.0945491622575,747.0945491622575,747.0945491622575,747.0945491622575,747.0945491622575,747.0945491622575,747.0945491622575
LinUCB,2024-10-21,779.8543507495591,779.8543507495591,779.8543507495591,779.8543507495591,779.8543507495591,779.8543507495591,779.8543507495591,779.8543507495591,779.8543507495591,779.8543507495591
LinUCB,2024-10-22,818.4765729717814,818.4765729717814,818.4765729717814,818.4765729717814,818.4765729717814,818.4765729717814,818.4765729717814,818.4765729717814,818.4765729717814,818.4765729717814
LinUCB,2024-10-23,861.6550253527338,861.6550253527338,861.6550253527338,861.6550253527338,861.6550253527338,861.6550253527338,861.6550253527338,861.6550253527338,861.6550253527338,861.6550253527338
LinUCB,2024-10-24,901.9077634479719,901.9077634479719,901.9077634479719,901.9077634479719,901.9077634479719,901.9077634479719,901.9077634479719,901.9077634479719,901.9077634479719,901.9077634479719
LinUCB,2024-10-25,942.5978428130512,942.5978428130512,942.5978428130512,942.5978428130512,942.5978428130512,942.5978428130512,942.5978428130512,942.5978428130512,942.5978428130512,942.5978428130512
