,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree Random,2024-10-02,53.77800453514739,48.34166666666667,53.633049886621315,48.294444444444444,42.385266439909294,39.02849206349207,39.21478395061728,48.70994331065759,39.856944444444444,51.358650793650796
MABTree Random,2024-10-03,86.51848072562359,80.10388888888889,87.24638321995465,74.43416666666667,70.92062358276644,70.46125850340137,75.65228395061729,82.04426870748298,72.44888888888889,85.64253968253968
MABTree Random,2024-10-04,123.6370918367347,112.98314484126985,123.36757369614513,117.63980158730159,102.8804648526077,101.95264739229026,107.76743827160495,113.9353401360544,107.96555555555555,121.22031746031746
MABTree Random,2024-10-05,145.89452239229024,137.2555753968254,157.74062925170068,143.12238095238095,129.41490929705213,132.37502834467122,137.95807319223985,141.47752267573694,134.1068253968254,151.16857142857143
MABTree Random,2024-10-06,170.11646683673467,166.72009920634923,186.56931972789116,176.27210317460316,157.51240929705213,164.88280612244898,160.20918430335095,173.7619671201814,167.66725749559083,180.979126984127
MABTree Random,2024-10-07,215.83818310657594,210.61849206349208,235.323089569161,208.66710317460314,202.77554421768704,198.60990929705216,198.88967041446205,211.68261196145124,212.3854760330058,225.37873015873015
MABTree Random,2024-10-08,249.3048497732426,236.26928571428573,284.6186337868481,238.5315476190476,249.87526643990927,239.7207029478458,233.18939263668426,256.9834056122449,256.82992047745023,266.5903968253968
MABTree Random,2024-10-09,292.7937386621315,275.86900793650796,322.19780045351473,275.1176587301587,286.0858616780045,280.3099886621315,262.83328152557317,299.5981278344671,309.52129802847065,306.5697619047619
MABTree Random,2024-10-10,343.35179421768703,320.5756746031746,365.7047448979592,320.525248015873,324.95134778911563,316.98875850340136,311.2982815255732,345.38535005668933,353.97749842529606,353.255873015873
MABTree Random,2024-10-11,385.05905612244896,368.65988095238095,414.2094671201814,360.20846230158725,369.6979336734694,368.17264739229023,350.0453847001764,385.8303500566893,391.66332608969515,397.4092624086672
MABTree Random,2024-10-12,422.14960034013603,396.69849206349204,449.3794671201814,398.1676113315696,402.8590447845805,403.23014739229023,379.91973844167296,428.32868339002266,426.94209152179394,432.66841773746535
MABTree Random,2024-10-13,462.90614795918367,424.92559082892416,479.75097505668936,441.7320954585538,442.4429620181406,444.4528017132779,421.2610700113379,461.46344529478455,460.8676470773495,473.3744494834971
MABTree Random,2024-10-14,492.1904733560091,466.8790134479718,523.439268707483,480.4197938712522,477.8606306689342,489.1664921894684,459.3578954081633,500.16729450113377,496.5113474741749,519.2590611615016
