,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree ε-greedy MF,2024-10-02,42.082086167800455,38.84875220458554,38.69738095238095,50.973333333333336,44.39995464852608,34.889603174603174,35.448859126984125,49.00328798185941,43.70145061728395,50.69195436507937
MABTree ε-greedy MF,2024-10-03,70.37492063492064,82.90291887125221,87.60126984126984,94.68940476190477,85.38995464852607,83.3143253968254,75.52830357142858,85.75995464852608,83.55901234567901,91.39892715419501
MABTree ε-greedy MF,2024-10-04,110.22777777777779,104.98347442680776,125.45626984126983,130.3792006802721,126.84217687074829,129.3518253968254,125.61086529982364,122.06590702947847,131.7849074074074,133.57753826530612
MABTree ε-greedy MF,2024-10-05,142.76281179138323,139.5342680776014,157.8629365079365,164.64003401360543,166.62551020408162,165.4621031746032,156.44537147266314,151.9955442176871,161.60885802469133,164.9497548185941
MABTree ε-greedy MF,2024-10-06,178.56788548752834,171.30649029982362,203.83150226757368,203.52225623582765,205.75412131519272,196.1093253968254,192.54135912698413,182.225022675737,204.700524691358,201.2256675170068
MABTree ε-greedy MF,2024-10-07,226.2571017573696,223.25065696649028,253.15967687074829,253.06422052154193,247.62162131519273,248.13953373015875,239.21719246031745,230.5367233560091,253.36996913580245,250.26665391156462
MABTree ε-greedy MF,2024-10-08,268.77178429705214,266.6364902998236,294.62495464852606,286.769175170068,295.0971768707483,294.7100892857143,291.63941468253967,263.1042063492064,302.8521913580247,295.21651218820864
MABTree ε-greedy MF,2024-10-09,307.4419869614512,314.25954018644495,333.71971088435373,327.3054648526077,352.1105102040816,324.95675595238095,331.0642217813051,303.581933106576,353.2088580246914,340.7751176303855
MABTree ε-greedy MF,2024-10-10,355.0381675170068,358.4611374086672,382.8805328798186,376.81451247165535,398.4066213151927,369.06092261904763,382.2767835097002,350.495741213152,393.8008024691358,376.73440334467125
MABTree ε-greedy MF,2024-10-11,401.4125425170068,404.4375262975561,428.68442176870747,419.616179138322,450.6882879818594,414.53653990299824,435.043573633157,389.0272094671202,443.1994135802469,422.4030087868481
