,createdAt,reward,reward,reward,reward,reward
ε-Greedy-AutoRec,2024-10-02,43.38027777777778,64.65626984126985,71.72216553287981,77.58463151927438,73.28907596371882
ε-Greedy-AutoRec,2024-10-03,73.28668367346938,100.5055328798186,102.6605605946082,107.99754818594104,99.07295351473923
ε-Greedy-AutoRec,2024-10-04,135.19779478458048,138.00997732426305,146.39528281683042,146.89385770975056,134.41422335600907
ε-Greedy-AutoRec,2024-10-05,193.31779478458049,177.53887613378686,184.09722726127487,182.5799787414966,179.19430272108843
ε-Greedy-AutoRec,2024-10-06,247.8275170068027,212.31665391156463,221.3905605946082,212.79053429705215,206.8368920068027
ε-Greedy-AutoRec,2024-10-07,325.0861281179138,255.18547335600908,260.8886161501637,261.5680342970521,254.85447137188208
ε-Greedy-AutoRec,2024-10-08,393.41279478458046,294.47880668934243,297.8094494834971,303.4296896258503,281.25401785714286
ε-Greedy-AutoRec,2024-10-09,493.40624149659857,321.64780895691615,347.64694948349705,349.61937216553287,316.278621031746
ε-Greedy-AutoRec,2024-10-10,584.8617970521541,362.516578798186,386.5983383723859,381.6064014865205,355.3650099206349
ε-Greedy-AutoRec,2024-10-11,652.8076247165532,404.636578798186,438.26006676744765,421.84930901990424,386.1892502834467
ε-Greedy-AutoRec,2024-10-12,710.8242913832198,443.65086451247174,471.83895565633657,457.85208679768203,427.2293183106576
ε-Greedy-AutoRec,2024-10-13,768.1220691609976,485.82086451247176,523.2120112118921,497.3279724111867,469.01630243764174
ε-Greedy-AutoRec,2024-10-14,825.5765136054421,518.0335232426305,574.7907512912572,546.6616628873771,512.7485530045352
ε-Greedy-AutoRec,2024-10-15,882.1526133786847,562.0264030612246,622.7494814499873,606.8738851095993,559.1818863378685
ε-Greedy-AutoRec,2024-10-16,930.3915022675736,594.9558971088437,662.053648116654,644.6897184429326,590.8902196712019
ε-Greedy-AutoRec,2024-10-17,988.2436010330057,645.3547562358278,710.1136481166541,685.8047184429327,626.7066085600908
ε-Greedy-AutoRec,2024-10-18,1034.7562994457041,680.6064846308896,752.5880925610985,724.1108912824388,667.0896584467121
ε-Greedy-AutoRec,2024-10-19,1074.349196271101,718.4711671705721,790.0470211325271,755.9656531872007,696.9724362244898
ε-Greedy-AutoRec,2024-10-20,1116.2258629377675,755.19144494835,829.9768113819603,787.358986520534,734.297158446712
ε-Greedy-AutoRec,2024-10-21,1168.0561407155453,790.7117227261277,867.2541923343413,828.4187087427563,790.056047335601
ε-Greedy-AutoRec,2024-10-22,1207.9672518266564,835.6253338372388,913.023716143865,870.6922008062484,835.055422335601
ε-Greedy-AutoRec,2024-10-23,1260.0761407155453,886.9976751070801,973.8352593537415,904.7341452506928,885.557922335601
ε-Greedy-AutoRec,2024-10-24,1306.2043493323254,927.9410084404135,1031.6939101473924,951.0891452506928,919.0820890022677
ε-Greedy-AutoRec,2024-10-25,1357.2157779037539,970.2197782816834,1091.8927549445705,998.6890217939027,975.2941524943312
ε-Greedy-AutoRec,2024-10-26,1397.6862427563615,1009.595333837239,1141.8144102733686,1040.3774344923154,1013.9813192869742
ε-Greedy-AutoRec,2024-10-27,1439.9454037540938,1047.613190980096,1193.7388490488788,1078.5822956034265,1054.8450891282441
ε-Greedy-AutoRec,2024-10-28,1497.3363561350461,1084.8403735197787,1237.8160315885614,1127.8212638573948,1102.8720279037543
ε-Greedy-AutoRec,2024-10-29,1545.34050579491,1128.4021019148404,1301.9622617472914,1170.9308670319979,1143.6314150289747
ε-Greedy-AutoRec,2024-10-30,1604.2756446837989,1170.555514613253,1356.9269839695137,1208.62185909549,1181.6978039178637
ε-Greedy-AutoRec,2024-10-31,1669.9701883345924,1241.656903502142,1424.8992742189469,1270.367964537667,1227.550026140086
ε-Greedy-AutoRec,2024-11-01,1717.9346724615766,1304.9268197278916,1483.1275962144118,1308.5002207734947,1269.4330519337368
ε-Greedy-AutoRec,2024-11-02,1762.565228017132,1359.9474546485264,1531.1988660556817,1354.1704291068281,1314.2080618543716
ε-Greedy-AutoRec,2024-11-03,1820.8937696837988,1415.7207879818598,1583.0105327223484,1399.646817995717,1351.6121590765938
ε-Greedy-AutoRec,2024-11-04,1869.20675579491,1460.721621315193,1626.4966438334595,1442.724317995717,1396.556881298816
ε-Greedy-AutoRec,2024-11-05,1907.50363079491,1512.7244486961454,1679.7359295477452,1490.9473338687328,1439.9935082829431
ε-Greedy-AutoRec,2024-11-06,1954.5667855568147,1552.2379407596375,1732.3688660556818,1546.0046178193502,1478.5859686004035
ε-Greedy-AutoRec,2024-11-07,2007.4861506361797,1605.8604407596374,1799.8802549445707,1609.588506708239,1552.5027763605447
ε-Greedy-AutoRec,2024-11-08,2067.5140573822114,1678.9470960884355,1870.7062569286977,1690.9710959939534,1629.8862507873523
ε-Greedy-AutoRec,2024-11-09,2111.6113292076084,1737.8366816263544,1936.4094258629382,1725.416651549509,1682.1905717750067
ε-Greedy-AutoRec,2024-11-10,2160.9211194570416,1797.7353607646764,1987.4016466679268,1784.727473544974,1741.2384289178638
ε-Greedy-AutoRec,2024-11-11,2211.540563901486,1864.7550829868987,2054.451368890149,1859.5300231481485,1812.9528620244398
ε-Greedy-AutoRec,2024-11-12,2282.565960726883,1939.9491261967753,2140.0965969072818,1945.2335648148153,1904.4839447908798
ε-Greedy-AutoRec,2024-11-13,2362.502984536407,2014.798366559587,2222.552910682792,2026.4521759259264,1985.433667013102
ε-Greedy-AutoRec,2024-11-14,2433.697359536407,2075.950866559587,2283.569412950366,2090.402731481482,2057.6931908226256
