,date,reward,reward,reward,reward,reward
E-Greedy-AutoRec,2024-10-01,155.70238095238096,220.2795634920635,247.2563492063492,301.2204365079365,304.88099206349204
E-Greedy-AutoRec,2024-10-02,250.27126984126986,385.78511904761905,425.5230158730159,496.02460317460316,494.1587698412698
E-Greedy-AutoRec,2024-10-03,345.47841269841274,488.3462301587302,551.0730158730158,604.8679365079365,583.3921031746031
E-Greedy-AutoRec,2024-10-04,443.4075793650794,606.265119047619,646.8063492063492,709.9826190476191,678.8751587301587
E-Greedy-AutoRec,2024-10-05,537.1722222222222,678.8762301587301,736.2571825396825,842.3245634920636,778.8501587301587
E-Greedy-AutoRec,2024-10-06,648.8472222222222,754.1195634920634,824.2255158730159,930.1755158730159,869.6167063492063
E-Greedy-AutoRec,2024-10-07,774.1680555555555,861.6089682539682,919.6484523809523,1032.0736111111112,959.646111111111
E-Greedy-AutoRec,2024-10-08,919.8472222222222,949.3189682539683,1029.0295238095237,1133.1002777777778,1075.2522222222221
E-Greedy-AutoRec,2024-10-09,1065.0505555555555,1073.5623015873016,1139.0744047619046,1226.3043253968253,1185.4805952380952
E-Greedy-AutoRec,2024-10-10,1175.6909126984126,1178.4371825396825,1252.0321428571426,1318.1796825396825,1284.654246031746
E-Greedy-AutoRec,2024-10-11,1282.4573412698412,1269.6603968253967,1363.4144047619045,1413.5280158730159,1380.225238095238
E-Greedy-AutoRec,2024-10-12,1373.6006746031746,1362.4704761904761,1453.27996031746,1533.3268253968254,1477.615357142857
E-Greedy-AutoRec,2024-10-13,1452.8330555555556,1444.6024603174603,1545.309722222222,1635.9244444444444,1560.2763095238092
E-Greedy-AutoRec,2024-10-14,1554.4413095238097,1531.89376984127,1636.2632936507935,1733.6904761904761,1651.6167857142855
E-Greedy-AutoRec,2024-10-15,1649.3095634920637,1651.4321031746033,1729.9809523809522,1848.024642857143,1743.0463095238092
E-Greedy-AutoRec,2024-10-16,1721.0411904761906,1735.21876984127,1823.7217857142855,1931.4866666666667,1827.5870634920632
E-Greedy-AutoRec,2024-10-17,1805.0715476190478,1814.4591269841271,1912.9276587301586,2026.4822222222222,1923.7945634920632
E-Greedy-AutoRec,2024-10-18,1880.481547619048,1887.4132936507938,1985.1771825396825,2109.834444444444,2000.9523412698409
E-Greedy-AutoRec,2024-10-19,1963.571785714286,1961.833531746032,2070.112738095238,2172.5175,2071.053452380952
E-Greedy-AutoRec,2024-10-20,2056.894761904762,2049.6565476190476,2154.6535714285715,2255.4051587301587,2161.3173412698407
E-Greedy-AutoRec,2024-10-21,2149.411785714286,2145.7544444444443,2246.0241666666666,2350.1638095238095,2241.6248412698405
E-Greedy-AutoRec,2024-10-22,2237.5151190476195,2242.2219444444445,2337.3744047619048,2428.8005952380954,2328.1623809523803
E-Greedy-AutoRec,2024-10-23,2358.2923412698415,2359.492777777778,2444.705238095238,2540.935238095238,2417.238769841269
E-Greedy-AutoRec,2024-10-24,2449.21,2438.92503968254,2537.9852380952384,2636.8455952380955,2515.5453174603167
E-Greedy-AutoRec,2024-10-25,2550.4700000000003,2532.2108730158734,2649.7895238095243,2757.35503968254,2622.059047619047
E-Greedy-AutoRec,2024-10-26,2644.5975000000003,2651.466150793651,2754.960158730159,2850.3312301587302,2722.328293650793
E-Greedy-AutoRec,2024-10-27,2747.9261904761906,2754.1392063492067,2849.5448809523814,2939.755396825397,2816.651904761904
E-Greedy-AutoRec,2024-10-28,2841.345515873016,2869.429047619048,2947.6573809523816,3045.4406746031746,2907.694404761904
E-Greedy-AutoRec,2024-10-29,2957.013373015873,2960.261547619048,3052.836190476191,3166.7512301587303,3020.4599603174597
E-Greedy-AutoRec,2024-10-30,3066.4992063492064,3046.5648809523814,3150.538412698413,3277.647896825397,3145.965515873015
E-Greedy-AutoRec,2024-10-31,3167.9945634920637,3149.799404761905,3251.6084126984133,3376.817896825397,3244.5871825396816
E-Greedy-AutoRec,2024-11-01,3242.012658730159,3231.682182539683,3327.5995238095243,3462.103134920635,3330.823134920634
E-Greedy-AutoRec,2024-11-02,3341.3243253968253,3310.6939682539687,3398.4970238095243,3548.4025793650794,3426.558968253967
E-Greedy-AutoRec,2024-11-03,3416.683134920635,3395.386468253969,3478.745912698413,3627.0109126984125,3514.7323015873003
E-Greedy-AutoRec,2024-11-04,3498.4450793650794,3474.8955158730164,3583.5689682539687,3709.2011904761903,3610.2231746031734
E-Greedy-AutoRec,2024-11-05,3584.2473015873015,3561.3194047619054,3670.483134920635,3795.042817460317,3690.34984126984
E-Greedy-AutoRec,2024-11-06,3687.541468253968,3647.2977777777783,3771.190912698413,3887.9018650793646,3782.970436507935
E-Greedy-AutoRec,2024-11-07,3788.7139682539682,3741.2986111111118,3873.7386904761906,4007.8018650793647,3860.919047619046
E-Greedy-MF,2024-10-01,133.79988095238096,231.39583333333334,226.79166666666666,233.79035714285715,245.92083333333332
E-Greedy-MF,2024-10-02,309.1982142857143,419.85333333333335,422.4583333333333,436.4378571428572,446.2208333333333
E-Greedy-MF,2024-10-03,480.73464285714283,601.1133333333333,591.4316666666666,601.6353571428572,620.139880952381
E-Greedy-MF,2024-10-04,616.8640476190476,746.0933333333334,738.2325,753.3620238095239,770.1890476190476
E-Greedy-MF,2024-10-05,749.895992063492,874.3343253968254,877.0891666666666,888.4786904761905,900.9532142857142
E-Greedy-MF,2024-10-06,880.885992063492,995.7176587301587,1010.0891666666666,1015.1353571428572,1030.1393253968254
E-Greedy-MF,2024-10-07,1060.3801587301587,1196.3103968253968,1203.3708333333334,1203.9686904761904,1220.46873015873
E-Greedy-MF,2024-10-08,1228.3276587301586,1367.2003968253966,1389.5325,1395.295357142857,1420.42623015873
E-Greedy-MF,2024-10-09,1402.7018253968254,1567.7801190476189,1583.7741666666666,1589.1620238095238,1625.7195634920633
E-Greedy-MF,2024-10-10,1579.3851587301588,1731.201865079365,1750.5908333333332,1764.772023809524,1797.7428968253967
E-Greedy-MF,2024-10-11,1734.7240476190477,1893.4185317460317,1922.2491666666665,1925.6077380952383,1960.5345634920634
E-Greedy-MF,2024-10-12,1877.7329365079365,2022.779365079365,2057.5158333333334,2065.5238095238096,2094.7755158730156
E-Greedy-MF,2024-10-13,2008.6265476190476,2171.004365079365,2193.5491666666667,2209.154642857143,2234.85996031746
E-Greedy-MF,2024-10-14,2154.5640476190474,2305.464365079365,2325.410277777778,2348.4935317460317,2377.5766269841265
E-Greedy-MF,2024-10-15,2298.482380952381,2459.126031746032,2474.9919444444445,2523.6379761904764,2529.7166269841264
E-Greedy-MF,2024-10-16,2437.229880952381,2616.436031746032,2626.6511111111113,2662.2379761904763,2684.4974603174596
E-Greedy-MF,2024-10-17,2577.870992063492,2761.5290873015874,2779.745277777778,2810.139642857143,2818.6374603174595
E-Greedy-MF,2024-10-18,2719.0518253968253,2900.862420634921,2924.3786111111112,2952.654285714286,2963.2374603174594
E-Greedy-MF,2024-10-19,2820.1451587301585,3021.096865079365,3049.882777777778,3057.4851190476193,3074.6582936507925
E-Greedy-MF,2024-10-20,2942.42376984127,3144.035753968254,3176.9061111111114,3184.2534523809527,3204.8182936507924
E-Greedy-MF,2024-10-21,3058.0918253968252,3263.110753968254,3306.722777777778,3316.113452380953,3334.464960317459
E-Greedy-MF,2024-10-22,3193.6393253968254,3402.527896825397,3448.8811111111113,3444.8301190476195,3481.839960317459
E-Greedy-MF,2024-10-23,3352.2440476190477,3566.2420634920636,3626.182777777778,3618.413452380953,3649.8388492063477
E-Greedy-MF,2024-10-24,3485.424880952381,3710.737777777778,3770.907777777778,3758.230952380953,3798.469682539681
E-Greedy-MF,2024-10-25,3632.9557142857143,3851.087777777778,3914.205277777778,3908.5142857142864,3951.753015873014
E-Greedy-MF,2024-10-26,3782.572380952381,3996.485277777778,4050.0277777777783,4059.018452380953,4095.3513492063475
E-Greedy-MF,2024-10-27,3925.919880952381,4154.212777777778,4201.0986111111115,4213.408452380953,4252.299404761903
E-Greedy-MF,2024-10-28,4104.336547619047,4324.669444444445,4379.055277777778,4386.51511904762,4428.867738095237
E-Greedy-MF,2024-10-29,4272.342380952381,4488.380634920635,4529.469444444445,4539.558452380953,4583.89607142857
E-Greedy-MF,2024-10-30,4409.667658730159,4633.014801587302,4670.983611111112,4670.990000000001,4721.052738095237
E-Greedy-MF,2024-10-31,4544.991825396825,4790.0814682539685,4829.516468253969,4816.7998809523815,4861.3634523809515
E-Greedy-MF,2024-11-01,4664.100436507936,4903.014801587302,4937.799801587303,4926.300992063492,4981.894285714285
E-Greedy-MF,2024-11-02,4778.99876984127,5006.188492063492,5048.855634920636,5039.594325396825,5085.710952380951
E-Greedy-MF,2024-11-03,4904.14376984127,5129.165992063492,5161.843134920636,5151.210992063492,5194.067619047618
E-Greedy-MF,2024-11-04,5038.843650793651,5270.765515873016,5296.862857142858,5281.750992063492,5338.077142857142
E-Greedy-MF,2024-11-05,5150.9369841269845,5396.889682539682,5425.422857142858,5410.675992063492,5461.659999999999
