,createdAt,reward,reward,reward,reward,reward
LinUCB,2024-10-02,38.62277777777778,39.59030612244898,43.13866071428571,50.908949200050394,52.58472080498866
LinUCB,2024-10-03,80.02222222222221,70.1064172335601,83.8175603111615,86.42174902368356,91.2857922335601
LinUCB,2024-10-04,124.83333333333331,106.57058390022675,120.4096734063996,128.76663548752836,128.9076176303855
LinUCB,2024-10-05,156.42777777777775,137.12505039052658,152.89677658100277,165.70024218946838,160.81634778911564
LinUCB,2024-10-06,194.10666666666663,163.2247726127488,182.7871160871756,206.40254377676996,194.69273667800454
LinUCB,2024-10-07,236.49388888888885,200.41526864449483,226.34261211892164,245.5779009196271,239.2948894557823
LinUCB,2024-10-08,283.6761111111111,240.44788202317963,270.1262175610985,287.6615120307382,283.4709948979592
LinUCB,2024-10-09,340.6951543209876,286.1033128621819,309.6377651801461,336.90388731418494,334.8036933106576
LinUCB,2024-10-10,380.3351543209876,326.5176184177375,352.4921982867221,387.27392699672464,379.1603103741497
LinUCB,2024-10-11,423.6190432098765,358.34242992567397,394.8830316200554,424.883133345931,416.15175327538424
LinUCB,2024-10-12,458.0573070987654,383.37105095742,429.07407328672207,447.8400700743261,450.695404069035
LinUCB,2024-10-13,495.28730709876544,416.217677941547,464.4337613378685,485.17062562988167,479.20465010078107
LinUCB,2024-10-14,529.285104717813,454.3900787351978,504.03667800453513,519.3307588498363,507.7011084341144
LinUCB,2024-10-15,584.2964936067019,497.2911501637692,551.8211841773747,572.0058382149157,549.8279161942555
LinUCB,2024-10-16,619.2023666225749,533.6082489292013,592.1889619551524,612.806671548249,585.8122911942555
LinUCB,2024-10-17,651.4825253527337,570.2695683736457,636.4602813995969,653.46726111741,623.5844439720333
LinUCB,2024-10-18,686.5820094797178,597.7237293713781,666.0543863378684,682.0450388951878,653.5885885928446
LinUCB,2024-10-19,712.1895491622575,621.6042849269337,690.1571981292517,710.8614277840767,683.7363266880827
LinUCB,2024-10-20,747.0945491622575,660.3971475812547,721.4666965860418,742.8345847505669,720.2246486835476
LinUCB,2024-10-21,779.8543507495591,698.9923019022423,758.7410175736961,780.1515291950113,761.7500455089444
LinUCB,2024-10-22,818.4765729717814,735.7375201562105,799.403795351474,810.6092672902495,791.9018510645
LinUCB,2024-10-23,861.6550253527338,779.3680757117661,837.1891348576468,849.3619216112371,839.028664336105
LinUCB,2024-10-24,901.9077634479719,820.9617099710254,878.9568740551777,888.4495020786093,880.8677615583272
LinUCB,2024-10-25,942.5978428130512,861.7804754031241,922.5042505983876,934.2529599710255,920.7848093033512
LinUCB,2024-10-26,972.882366622575,897.865896164021,950.6452886432352,963.2062378747795,951.1417713844799
LinUCB,2024-10-27,1004.4246724615773,924.9073699294531,993.4332305051652,991.0937378747795,982.7473552847066
LinUCB,2024-10-28,1046.4732835726884,959.3051873897706,1036.0737860607207,1044.2772341899722,1022.6021965545478
LinUCB,2024-10-29,1087.8357779037542,1004.0836750440916,1086.8019805051651,1098.7998885109598,1071.816289367599
LinUCB,2024-10-30,1126.0767699672463,1036.9732087742502,1120.7900360607207,1140.5258805744518,1115.1434421453769
LinUCB,2024-10-31,1173.7687030738223,1066.9246770282184,1156.1025283446713,1178.9429547745021,1156.3300577916355
LinUCB,2024-11-01,1202.0133445137317,1094.944964726631,1183.5830144557824,1220.8867742189466,1190.3558216805243
LinUCB,2024-11-02,1233.8260087553542,1123.7304508377422,1214.5762243323256,1255.7489213277902,1226.0574442554803
LinUCB,2024-11-03,1266.2469567271355,1155.741839726631,1248.621432665659,1298.3808613630636,1263.0214521919881
LinUCB,2024-11-04,1294.3395856953896,1195.619526801461,1277.7782977450242,1335.273162950365,1302.4592299697658
LinUCB,2024-11-05,1337.4938372385996,1224.3885744205086,1316.502202066012,1372.8692740614763,1341.5018148463091
LinUCB,2024-11-06,1368.1340753338377,1258.9947825333834,1351.0534719072818,1409.125702632905,1368.8337592907535
LinUCB,2024-11-07,1404.9478848576473,1294.9154968190976,1390.5761130007563,1449.053326089695,1407.603962112623
LinUCB,2024-11-08,1446.2555931909806,1350.2640491937511,1445.0229383975818,1505.7012449609472,1453.7676625094484
LinUCB,2024-11-09,1481.3039662068536,1394.2992872889893,1478.4012717309151,1542.0492847694632,1491.9135298563872
LinUCB,2024-11-10,1518.3598888259012,1434.3652084908033,1521.2735733182167,1579.299929610733,1539.932486772487
LinUCB,2024-11-11,1558.7584999370124,1478.8022719828668,1561.06190665155,1630.9192605190221,1587.2089947089949
LinUCB,2024-11-12,1598.0057221592347,1523.405361552028,1618.4091288737723,1683.5255472096244,1638.5570061728397
LinUCB,2024-11-13,1644.5950971592347,1571.2116214726627,1668.0622637944073,1723.825348796926,1688.2991246220713
